## {"instance": "pve-cz-agent-01.tailscale.internal:9100"}
08-21 10:00Z 14.389473684172959
08-21 10:10Z 15.054385964881245
08-21 10:20Z 12.773684210536128
08-21 10:30Z 14.065789473651535
08-21 10:40Z 15.473684210518158
08-21 10:50Z 12.471052631572421
08-21 11:00Z 11.028070175456584
08-21 11:10Z 15.535087719306429
08-21 11:20Z 15.264912280703392
08-21 11:30Z 13.036842105232127
08-21 11:40Z 36.9666666666193
08-21 11:50Z 55.5938596490836
08-21 12:00Z 56.885087719277
08-21 12:10Z 47.46140350877683
08-21 12:20Z 46.50175438597473
08-21 12:30Z 47.979824561421495
08-21 12:40Z 46.76052631573393
08-21 12:50Z 47.3157894737169
08-21 13:00Z 47.46578947367278
## {"instance": "pve-cz-agent-02.tailscale.internal:9100"}
08-21 10:00Z 9.274561403507153
08-21 10:10Z 11.869298245578097
08-21 10:20Z 13.398245614054705
08-21 10:30Z 10.511403508778471
08-21 10:40Z 11.10964912279886
08-21 10:50Z 12.767543859673648
08-21 11:00Z 12.552631578996397
08-21 11:10Z 8.840350877175018
08-21 11:20Z 11.69561403509427
08-21 11:30Z 11.321052631543015
08-21 11:40Z 10.932456140341085
08-21 11:50Z 12.278070175497424
08-21 12:00Z 12.749122807004476
08-21 12:10Z 24.970175438650422
08-21 12:20Z 1.4228070175618446
08-21 12:30Z 5.113157894821818
08-21 12:40Z 1.387719298190071
08-21 12:50Z 1.3561403508739356
08-21 13:00Z 1.366666666714056
